players,2016-07-11
Antonio Brown,1
Odell Beckham Jr.,2
David Johnson,3
Le'Veon Bell,4
Julio Jones,5
Todd Gurley,6
Ezekiel Elliott,7
Rob Gronkowski,8
Adrian Peterson,9
DeAndre Hopkins,10
Dez Bryant,11
Allen Robinson,12
A.J. Green,13
Brandon Marshall,14
Jamaal Charles,15
Lamar Miller,16
Jordy Nelson,17
Alshon Jeffery,18
Devonta Freeman,19
Cam Newton,20
Doug Martin,21
Aaron Rodgers,22
Demaryius Thomas,23
Mike Evans,24
Amari Cooper,25
Eddie Lacy,26
Sammy Watkins,27
Carlos Hyde,28
Mark Ingram,29
Brandin Cooks,30
Keenan Allen,31
Julian Edelman,32
Russell Wilson,33
LeSean McCoy,34
T.Y. Hilton,35
C.J. Anderson,36
Thomas Rawls,37
Andrew Luck,38
Matt Forte,39
Kelvin Benjamin,40
Ben Roethlisberger,41
Jordan Reed,42
Greg Olsen,43
Doug Baldwin,44
Randall Cobb,45
Drew Brees,46
Eric Decker,47
Jarvis Landry,48
Golden Tate,49
Jeremy Maclin,50
Jonathan Stewart,51
Carson Palmer,52
DeMarco Murray,53
Latavius Murray,54
Tyler Eifert,55
Travis Kelce,56
Ryan Mathews,57
Delanie Walker,58
Blake Bortles,59
Michael Floyd,60
Allen Hurns,61
Tom Brady,62
Denver,63
Jeremy Hill,64
Larry Fitzgerald,65
Seattle,66
Jordan Matthews,67
Jay Ajayi,68
Carolina,69
Stephen Gostkowski,70
Arizona,71
Tony Romo,72
Zach Ertz,73
Emmanuel Sanders,74
Jeremy Langford,75
Los Angeles,76
DeVante Parker,77
John Brown,78
Matt Jones,79
Graham Gano,80
Dion Lewis,81
Gary Barnidge,82
Connor Barth,83
Eli Manning,84
Houston,85
DeSean Jackson,86
New England,87
Ladarius Green,88
Tyler Lockett,89
Blair Walsh,90
Frank Gore,91
Chris Ivory,92
Michael Crabtree,93
Julius Thomas,94
Marvin Jones,95
Kevin White,96
Shayne Graham,97
Derek Carr,98
Melvin Gordon,99
Ameer Abdullah,100
Coby Fleener,101
Kansas City,102
Giovani Bernard,103
Sterling Shepard,104
Andy Dalton,105
Chris Boswell,106
Steven Hauschka,107
Donte Moncrief,108
Josh Doctson,109
Jimmy Graham,110
Steve Smith Sr.,111
Buffalo,112
Justin Forsett,113
Philip Rivers,114
Karlos Williams,115
Darren McFadden,116
Markus Wheaton,117
Marcus Mariota,118
Antonio Gates,119
Derrick Henry,120
T.J. Yeldon,121
Tavon Austin,122
Duke Johnson Jr.,123
Jared Goff,124
Dorial Green-Beckham,125
Dallas,126
Chicago,127
Justin Tucker,128
Teddy Bridgewater,129
Danny Woodhead,130
Kirk Cousins,131
DeAngelo Williams,132
Alfred Morris,133
Torrey Smith,134
Willie Snead,135
New York,198
Robert Griffin III,137
Stefon Diggs,138
Marshawn Lynch,139
Tampa Bay,140
Arian Foster,141
Vincent Jackson,142
Ted Ginn Jr.,143
Chris Johnson,144
Ronnie Hillman,145
Alex Smith,146
Rashad Jennings,147
Corey Coleman,148
James Jones,149
Anquan Boldin,150
Brock Osweiler,151
Isaiah Crowell,152
Danny Amendola,153
Jason Witten,154
Laquon Treadwell,155
Joe Flacco,156
Victor Cruz,157
James Starks,158
Jameis Winston,159
Chris Hogan,160
LeGarrette Blount,161
Baltimore,162
Terrance Williams,163
Richard Rodgers,164
Josh Gordon,165
Oakland,166
Austin Seferian-Jenkins,167
Hunter Henry,168
Sebastian Janikowski,169
Nick Folk,170
Jay Cutler,171
Jeff Janis,172
Kenneth Dixon,173
Benjamin Watson,174
Darren Sproles,175
Ryan Fitzpatrick,176
Matt Ryan,177
Miami,178
Jacksonville,179
Jordan Howard,180
Detroit,181
Paul Perkins,182
Devontae Booker,183
Clive Walford,184
Ryan Tannehill,185
Tyrod Taylor,186
Charles Sims,187
Travis Benjamin,188
Will Fuller,189
Matthew Stafford,190
Sammie Coates,191
Michael Thomas,192
Pierre Garcon,193
Mohamed Sanu,194
Devin Funchess,195
Breshad Perriman,196
Martellus Bennett,197
Charcandrick West,199
Tevin Coleman,200
Matt Prater,201
Mike Nugent,202
Charles Clay,203
Mike Wallace,204
Brandon McManus,205
Kamar Aiken,206
Jordan Cameron,207
Nelson Agholor,208
Mason Crosby,209
Kyle Rudolph,210
Adam Vinatieri,211
Roberto Aguayo,212
Washington,213
Dwayne Allen,214
C.J. Prosise,215
Shaun Suisham,216
Phillip Dorsett,217
Pittsburgh,218
Jared Cook,219
Dan Bailey,220
Kendall Wright,221
Josh Brown,222
Green Bay,223
Zach Miller,224
Eric Ebron,225
Cincinnati,226
Matt Bryant,227
Greg Zuerlein,228
Minnesota,229
Nick Novak,230
Chandler Catanzaro,231
Josh Lambo,232
Philadelphia,233
Robbie Gould,234
Cairo Santos,235
Randy Bullock,236
